iter	RMSE
0	1.393244478
1	1.362995027
2	1.337513461
3	1.309204951
4	1.286557657
5	1.265290631
6	1.242565077
7	1.224793987
8	1.205192797
9	1.189675495
10	1.171241226
11	1.159259998
12	1.144591418
13	1.131924616
14	1.11868058
15	1.107359142
16	1.097781287
17	1.085556959
18	1.077358118
19	1.06783523
20	1.059575468
21	1.052872935
22	1.044686
23	1.038352258
24	1.032898408
25	1.027823461
26	1.018137475
27	1.012357733
28	1.006180088
29	0.9981392035
30	0.9914253487
31	0.9852408179
32	0.9786381049
33	0.971804159
34	0.9675755256
35	0.9618723101
36	0.9555305764
37	0.9505586393
38	0.9469933275
39	0.9440782479
40	0.9394985348
41	0.9342436103
42	0.9313990353
43	0.9255742802
44	0.9219533171
45	0.9146901945
46	0.9127223207
47	0.9065715066
48	0.9014748525
49	0.8976078817
50	0.89426994
51	0.8919523184
52	0.8898001564
53	0.8849101618
54	0.881457787
55	0.8795557396
56	0.8747289805
