iter	Passed	Remaining
0	36	18289
1	54	13593
2	71	11762
3	86	10766
4	108	10790
5	125	10292
6	144	10148
7	165	10204
8	189	10313
9	209	10275
10	228	10156
11	245	9976
12	260	9759
13	277	9628
14	295	9567
15	314	9514
16	336	9561
17	354	9499
18	372	9433
19	395	9487
20	413	9426
21	429	9321
22	446	9265
23	461	9152
24	488	9280
25	505	9216
26	524	9190
27	546	9220
28	563	9154
29	578	9058
30	595	9002
31	609	8919
32	625	8855
33	641	8797
34	655	8712
35	672	8667
36	692	8662
37	708	8618
38	722	8542
39	740	8510
40	754	8444
41	780	8514
42	798	8487
43	817	8472
44	839	8493
45	874	8633
46	894	8626
47	913	8597
48	927	8536
49	944	8496
50	965	8498
51	983	8475
52	998	8424
53	1012	8360
54	1027	8310
55	1040	8247
56	1053	8191
