Feature 1,Feature 2,Correlation
% Shots on target,Total Shots,1.0
% Shots on target,Shots p 90,1.0
Progressive Carries,carries_prgc,1.0
Assists p 90,Goals & Assists,1.0
Shots p 90,Total Shots,1.0
Assists p 90,adjusted_assists_season1,1.0
Goals & Assists,adjusted_assists_season1,1.0
Avg Mins per Match,Matches Played,1.0
Passes Attempted,touches_def_pen,0.98
Passes Attempted,Progressive passes distance,0.96
Matches Played,touches_def_pen,0.95
Avg Mins per Match,touches_def_pen,0.95
Progressive passes distance,touches_def_pen,0.95
Passes Attempted,Passes Completed,0.95
Saves,touches_def_pen,0.95
Matches Played,Saves,0.93
Avg Mins per Match,Saves,0.93
Matches Played,Passes Attempted,0.93
Avg Mins per Match,Passes Attempted,0.93
Matches Played,Progressive passes distance,0.92
Avg Mins per Match,Progressive passes distance,0.92
Progressive passes distance,Saves,0.91
Passes Completed,touches_def_pen,0.91
Avg Mins per Match,minutes_played_season1,0.91
Matches Played,minutes_played_season1,0.91
% Medium passes completed,% Short pass completed,0.9
adjusted_clean_sheet_season2,minutes_played_season2,0.9
Passes Attempted,minutes_played_season1,0.9
Passes Attempted,Saves,0.9
minutes_played_season1,touches_def_pen,0.9
adjusted_clean_sheet_season1,minutes_played_season1,0.89
Progressive passes distance,minutes_played_season1,0.87
Passes Completed,Progressive passes distance,0.86
Tackles Won,Tackles attempted,0.86
% Successful take-ons,Take ons attempted,0.85
Saves,minutes_played_season1,0.84
Passes Completed,minutes_played_season1,0.83
Avg Mins per Match,Passes Completed,0.81
Matches Played,Passes Completed,0.81
Goal creating actions p 90,Shot creating actions p 90,0.79
Passes Completed,Saves,0.79
% Dribbles tackled,Tackles attempted,0.76
Clearances,Matches Played,0.75
Avg Mins per Match,Clearances,0.75
1/3,Progressive passes distance,0.75
Clearances,Saves,0.73
Clearances,Progressive passes distance,0.72
carries final 3rd,carries penalty area,0.7
% Dribbles tackled,Tackles Won,0.7
Clearances,touches_def_pen,0.7
Clearances,Passes Attempted,0.69
Saves %,goals_conceded_per_90_season1,-0.69
1/3,Passes into penalty area,0.68
Crosses Stopped,Goal creating actions p 90,0.68
Key passes,Passes into penalty area,0.67
% Aerial Duels won,Matches Played,0.67
% Aerial Duels won,Avg Mins per Match,0.66
% Aerial Duels won,Passes Attempted,0.66
% Aerial Duels won,Progressive passes distance,0.66
% Aerial Duels won,touches_def_pen,0.65
Clearances,minutes_played_season1,0.64
% Aerial Duels won,Passes Completed,0.64
1/3,Clearances,0.63
has_advanced_stats,minutes_played_season1,0.63
goals_conceded_per_90_season1,has_advanced_stats,0.63
1/3,Key passes,0.62
% Long passes completed,Pass completion %,0.61
1/3,Passes Attempted,0.61
goals_conceded_per_90_season1,minutes_played_season1,0.61
minutes_played_season1,minutes_played_season2,0.6
Crosses Stopped,Shot creating actions p 90,0.6
goals_conceded_per_90_season2,minutes_played_season2,0.6
1/3,Matches Played,0.6
1/3,Avg Mins per Match,0.6
Passes Completed,adjusted_clean_sheet_season1,0.6
1/3,touches_def_pen,0.59
1/3,minutes_played_season1,0.58
% Aerial Duels won,Saves,0.58
Saves %,minutes_played_season1,0.58
1/3,Saves,0.58
adjusted_clean_sheet_season2,minutes_played_season1,0.57
Passes Attempted,adjusted_clean_sheet_season1,0.57
Saves %,adjusted_clean_sheet_season1,0.57
Goal creating actions p 90,goals_conceded_per_90_season1,0.56
adjusted_clean_sheet_season1,adjusted_clean_sheet_season2,0.56
Passes into penalty area,adjusted_clean_sheet_season1,0.55
Avg Mins per Match,adjusted_clean_sheet_season1,0.54
Matches Played,adjusted_clean_sheet_season1,0.54
adjusted_clean_sheet_season1,minutes_played_season2,0.54
Passes into penalty area,Progressive passes distance,0.54
adjusted_clean_sheet_season1,touches_def_pen,0.54
Saves,Saves %,0.53
Key passes,minutes_played_season1,0.53
Key passes,Progressive passes distance,0.52
Progressive passes distance,adjusted_clean_sheet_season1,0.52
% Aerial Duels won,minutes_played_season1,0.52
Saves %,touches_def_pen,0.52
has_advanced_stats,minutes_played_season2,0.51
Clearances,Passes Completed,0.51
goals_conceded_per_90_season2,has_advanced_stats,0.51
Passes into penalty area,minutes_played_season1,0.51
Matches Played,Saves %,0.5
Avg Mins per Match,Saves %,0.5
goals_conceded_per_90_season1,minutes_played_season2,0.5
Passes Attempted,Saves %,0.5
Clearances,Tackles attempted,0.48
goals_conceded_per_90_season1,goals_conceded_per_90_season2,0.48
Progressive passes distance,Saves %,0.48
Avg Mins per Match,Passes into penalty area,0.48
Shot creating actions p 90,goals_conceded_per_90_season1,0.48
Matches Played,Passes into penalty area,0.47
Key passes,Passes Attempted,0.47
Errors made,Progressive passes distance,0.47
Passes Attempted,Passes into penalty area,0.47
Interceptions,Saves,0.47
Errors made,Take ons attempted,0.46
1/3,Errors made,0.46
adjusted_clean_sheet_season1,transfer_fee,0.46
Progressive Passes,adjusted_clean_sheet_season1,0.46
Passes Completed,Saves %,0.46
Key passes,touches_def_pen,0.46
adjusted_clean_sheet_season1,has_advanced_stats,0.45
Avg Mins per Match,Interceptions,0.44
Goal creating actions p 90,Saves %,-0.44
Passes into penalty area,touches_def_pen,0.44
Interceptions,Matches Played,0.44
% Aerial Duels won,Clearances,0.44
Errors made,Saves,0.44
Clearances,Passes into penalty area,0.44
Avg Mins per Match,Key passes,0.44
goals_conceded_per_90_season2,minutes_played_season1,0.44
% Long passes completed,height_in_cm,-0.44
Key passes,Matches Played,0.43
minutes_played_season1,transfer_fee,0.43
