name,transfer_fee,days_left_on_contract,age,height_in_cm,is_left_footed,is_tier1_nation,adjusted_assists_season1,adjusted_clean_sheet_season1,goals_conceded_per_90_season1,minutes_played_season1,adjusted_assists_season2,adjusted_clean_sheet_season2,goals_conceded_per_90_season2,season,to_club_name,Matches Played,Avg Mins per Match,Assists,Goals & Assists,Progressive Passes,Assists p 90,Tackles attempted,Tackles Won,% Dribbles tackled,Passes blocked,Interceptions,Clearances,Errors made,Saves %,% Clean sheets,% Penalty saves,Passes Completed,Pass completion %,% Short pass completed,% Medium passes completed,% Long passes completed,Key passes,1/3,Passes into penalty area,Take ons attempted,% Successful take-ons,Times tackled during take-on,carries final 3rd,carries penalty area,Possessions lost,Total Shots,% Shots on target,Shots p 90,% Aerial Duels won,Shot creating actions p 90,Goal creating actions p 90,Crosses Stopped,has_advanced_stats,to_club_name_encoded,transfer_fee_log,age_squared
Jack Butland,1100000.0,0.9726027397260274,0.16666666666666666,0.9090909090909091,0,1,0.0,-0.1543596161869003,-0.5802306833684733,-0.15789473684210525,0.0,-0.10219977745442095,-0.6716008771929826,2020,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.3598975665735047,13.910821646859095,0.16987179487179488
Rúnar Alex Rúnarsson,2000000.0,1.0,-0.16666666666666666,-0.9090909090909091,0,0,0.0,-0.1543596161869003,0.8667195832816569,0.15789473684210525,0.0,0.6886929726953693,0.5165570175438597,2020,Arsenal,-14.846153846153847,-1416.3076923076924,-1.0,-1.0,-1.0,-1.0,-0.9230769230769231,-0.5384615384615384,-36.54102564102564,-1.0,-0.8205128205128205,-7.846153846153847,1.3846153846153846,-6.148717948717945,-21.235897435897435,-14.807692307692308,-351.025641025641,6.853846153846149,-6.237113402062128,-0.6333333333333258,6.156410256410254,-0.717948717948718,-14.333333333333334,-0.6410256410256411,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28.244952893674476,0.23846153846153847,-1.6610169491525424,0.2897435897435896,1,2.8078072165268746,14.508658238524095,-0.16346153846153846
Emiliano Martínez,17400000.0,1.6675799086757992,0.3333333333333333,0.7272727272727273,0,1,0.0,0.8443888193575302,0.05665090118023256,0.49122807017543857,0.0,0.0,-0.6716008771929826,2020,Aston Villa,-16.846153846153847,-1546.3076923076924,-1.0,-1.0,-1.0,-1.0,-0.9230769230769231,-0.5384615384615384,-36.54102564102564,-1.0,-0.8205128205128205,-9.846153846153847,-1.6153846153846154,11.051282051282058,16.264102564102565,-14.807692307692308,-386.025641025641,4.453846153846158,4.216494845360939,-1.0333333333333314,-10.043589743589742,-0.717948717948718,-9.333333333333334,-0.6410256410256411,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-76.73485868102337,-0.16153846153846155,-1.6610169491525424,0.5897435897435894,1,-0.2770626066149298,16.67198082165602,0.34615384615384615
Jeroen Zoet,1500000.0,1.0,0.5,-0.36363636363636365,0,1,0.0,1.0120984564038382,0.23340396505181255,0.8315789473684211,0.0,2.333647179662758,0.08344808241534066,2020,Spezia Calcio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.1572538909541336,14.220976332738882,0.5288461538461539
Bono,4000000.0,0.6666666666666666,0.5,0.7272727272727273,1,1,0.928,1.1072173550271172,-0.22587551602558428,0.39473684210526316,0.0,1.168706667807926,0.2842084574644159,2020,Sevilla FC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,15.201805169084134,0.5288461538461539
Gerónimo Rulli,5000000.0,1.0,0.3333333333333333,-0.36363636363636365,0,1,0.0,1.0791823112223615,0.16391516805159367,0.631578947368421,0.0,1.1120431396045538,0.1859308832425893,2020,Villarreal,-0.8461538461538467,-67.30769230769238,-1.0,-1.0,1.1666666666666665,-1.0,2.0769230769230766,0.46153846153846156,38.45897435897436,4.571428571428571,1.1794871794871795,-1.8461538461538467,-0.6153846153846154,9.851282051282055,10.764102564102565,25.192307692307693,90.974358974359,10.153846153846146,0.19587628865975082,0.2666666666666657,17.856410256410257,-0.717948717948718,-6.333333333333334,-0.6410256410256411,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.248990578734907,-0.001538461538461544,-1.6610169491525424,-0.81025641025641,1,0.0,15.424948670398354,0.34615384615384615
Etrit Berisha,3500000.0,-0.971689497716895,0.8333333333333334,0.5454545454545454,1,0,0.0,0.31322486441385067,0.5839821748557693,0.7578947368421053,0.0,0.9016519729521526,0.27038476874003203,2020,SPAL,0.1538461538461533,22.692307692307622,-1.0,-1.0,-1.0,-1.0,2.0769230769230766,1.4615384615384617,30.158974358974362,-1.0,0.17948717948717952,-1.8461538461538467,-1.6153846153846154,4.1512820512820525,-9.735897435897435,-14.807692307692308,21.974358974359006,2.553846153846152,4.216494845360939,-1.433333333333323,4.556410256410253,-0.717948717948718,-8.333333333333334,-0.6410256410256411,2.588235294117647,4.782608695652174,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.122476446837245,-0.011538461538461553,-1.6610169491525424,-2.3102564102564105,1,0.0,15.068273812173887,0.9134615384615384
Luigi Sepe,4580000.0,0.6666666666666666,0.5,-1.0909090909090908,1,1,0.0,0.624947851481018,0.4828348186601938,0.9473684210526315,0.0,1.4967046135410427,0.419119344413666,2020,Parma,8.153846153846153,742.6923076923076,-1.0,-1.0,-1.0,-1.0,0.07692307692307687,-0.5384615384615384,13.45897435897436,-1.0,-0.8205128205128205,-4.846153846153847,0.3846153846153846,5.6512820512820525,-6.535897435897436,18.49230769230769,261.974358974359,8.053846153846152,4.216494845360939,0.9666666666666686,11.756410256410255,1.282051282051282,9.666666666666666,-0.6410256410256411,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.122476446837245,0.09846153846153846,-0.33898305084745767,-2.01025641025641,1,0.0,15.337209774430955,0.5288461538461539
Stefano Gori,3200000.0,0.3333333333333333,-0.3333333333333333,-1.0909090909090908,0,1,0.0,-0.1543596161869003,-0.5802306833684733,-0.15789473684210525,0.0,-0.10219977745442095,-0.6716008771929826,2020,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,14.978661680269907,-0.32051282051282054
Ivor Pandur,1900000.0,1.0,-1.0,-0.7272727272727273,0,1,0.0,-0.1543596161869003,-0.5802306833684733,-0.15789473684210525,0.0,-0.10219977745442095,-0.6716008771929826,2020,Hellas Verona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1.589753401700203,14.45736497045232,-0.8846153846153846
