name,transfer_fee,days_left_on_contract,age,position,height_in_cm,is_left_footed,is_tier1_nation,adjusted_goals_season1,adjusted_assists_season1,adjusted_clean_sheet_season1,goals_conceded_per_90_season1,minutes_played_season1,adjusted_goals_season2,adjusted_assists_season2,adjusted_clean_sheet_season2,goals_conceded_per_90_season2,minutes_played_season2,season,to_club_name,Matches Played,Avg Mins per Match,Goals,Assists,Goals & Assists,Non Penalty Goals,Penalty Kicks Made,Expected Goals,Exp NPG,Progressive Carries,Progressive Passes,Goals p 90,Assists p 90,Tackles attempted,Tackles Won,% Dribbles tackled,Shots blocked,Passes blocked,Interceptions,Clearances,Errors made,Goals Against,Goals against p 90,Saves,Saves %,Clean Sheets,% Clean sheets,% Penalty saves,Passes Completed,Passes Attempted,Pass completion %,Progressive passes distance,% Short pass completed,% Medium passes completed,% Long passes completed,Key passes,1/3,Passes into penalty area,touches_def_pen,Take ons attempted,% Successful take-ons,Times tackled during take-on,carries_prgc,carries final 3rd,carries penalty area,Possessions lost,Goals Scored,Total Shots,% Shots on target,Shots p 90,Goals per shot,Goals per shot on target,% Aerial Duels won,Shot creating actions p 90,Goal creating actions p 90,Crosses Stopped,has_advanced_stats
Jack Butland,1100000.0,2494.0,27,Goalkeeper,196.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,Crystal Palace,25.846153846153847,2317.3076923076924,0.0,0.0512820512820512,0.0512820512820512,0.0,0.0,0.0,0.0,0.0,0.4615384615384615,0.0,0.0015384615384615,0.9230769230769232,0.5384615384615384,36.54102564102564,0.0,0.1794871794871795,0.8205128205128205,10.846153846153848,1.6153846153846154,37.66666666666666,1.528974358974359,82.3076923076923,69.94871794871794,5.589743589743589,21.235897435897435,14.807692307692308,598.025641025641,880.1282051282051,67.94615384615385,13172.128205128203,98.95128205128204,98.33333333333331,44.74358974358975,0.717948717948718,15.333333333333334,0.6410256410256411,789.4615384615385,0.4358974358974359,29.487179487179485,1.2820512820512822,0.0,0.0512820512820512,0.0256410256410256,0.1282051282051282,0.0,0.0256410256410256,2.5641025641025643,0.0007692307692307,0.0,0.0,73.09487179487179,0.1615384615384615,0.0376923076923076,5.21025641025641,0
Rúnar Alex Rúnarsson,2000000.0,2524.0,25,Goalkeeper,186.0,0,0,0.0,0.0,0.0,2.1,900.0,0.0,0.0,4.62,1.72,2250.0,2020,Arsenal,11.0,901.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,17.0,1.7,31.0,63.8,0.0,0.0,0.0,247.0,330.0,74.8,5535.0,97.4,97.7,50.9,0.0,1.0,0.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.4,0.0,5.5,1
Emiliano Martínez,17400000.0,3255.0,28,Goalkeeper,195.0,0,1,0.0,0.0,5.984999999999999,0.9243243243243242,1850.0,0.0,0.0,0.597,0.0,90.0,2020,Aston Villa,9.0,771.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,1.05,33.0,81.0,3.0,37.5,0.0,212.0,293.0,72.4,3181.0,100.0,97.3,34.7,0.0,6.0,0.0,271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,1
Jeroen Zoet,1500000.0,2524.0,29,Goalkeeper,189.0,0,1,0.0,0.0,6.99,1.180851063829787,2820.0,0.0,0.0,14.229,1.0930232558139534,3870.0,2020,Spezia Calcio,25.846153846153847,2317.3076923076924,0.0,0.0512820512820512,0.0512820512820512,0.0,0.0,0.0,0.0,0.0,0.4615384615384615,0.0,0.0015384615384615,0.9230769230769232,0.5384615384615384,36.54102564102564,0.0,0.1794871794871795,0.8205128205128205,10.846153846153848,1.6153846153846154,37.66666666666666,1.528974358974359,82.3076923076923,69.94871794871794,5.589743589743589,21.235897435897435,14.807692307692308,598.025641025641,880.1282051282051,67.94615384615385,13172.128205128203,98.95128205128204,98.33333333333331,44.74358974358975,0.717948717948718,15.333333333333334,0.6410256410256411,789.4615384615385,0.4358974358974359,29.487179487179485,1.2820512820512822,0.0,0.0512820512820512,0.0256410256410256,0.1282051282051282,0.0,0.0256410256410256,2.5641025641025643,0.0007692307692307,0.0,0.0,73.09487179487179,0.1615384615384615,0.0376923076923076,5.21025641025641,0
Bono,4000000.0,2159.0,29,Goalkeeper,195.0,1,1,0.0,0.928,7.56,0.5142857142857142,1575.0,0.0,0.0,7.424,1.3836477987421385,2862.0,2020,Sevilla FC,25.846153846153847,2317.3076923076924,0.0,0.0512820512820512,0.0512820512820512,0.0,0.0,0.0,0.0,0.0,0.4615384615384615,0.0,0.0015384615384615,0.9230769230769232,0.5384615384615384,36.54102564102564,0.0,0.1794871794871795,0.8205128205128205,10.846153846153848,1.6153846153846154,37.66666666666666,1.528974358974359,82.3076923076923,69.94871794871794,5.589743589743589,21.235897435897435,14.807692307692308,598.025641025641,880.1282051282051,67.94615384615385,13172.128205128203,98.95128205128204,98.33333333333331,44.74358974358975,0.717948717948718,15.333333333333334,0.6410256410256411,789.4615384615385,0.4358974358974359,29.487179487179485,1.2820512820512822,0.0,0.0512820512820512,0.0256410256410256,0.1282051282051282,0.0,0.0256410256410256,2.5641025641025643,0.0007692307692307,0.0,0.0,73.09487179487179,0.1615384615384615,0.0376923076923076,5.21025641025641,0
Gerónimo Rulli,5000000.0,2524.0,28,Goalkeeper,189.0,0,1,0.0,0.0,7.392,1.08,2250.0,0.0,0.0,7.093,1.2413793103448276,2610.0,2020,Villarreal,25.0,2250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,75.0,0.0,1.0,2.0,9.0,1.0,27.0,1.08,91.0,79.8,8.0,32.0,40.0,689.0,882.0,78.1,16895.0,99.0,98.6,62.6,0.0,9.0,0.0,779.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.16,0.0,4.4,1
Etrit Berisha,3500000.0,365.0,31,Goalkeeper,194.0,1,0,0.0,0.0,2.802,1.6896551724137931,2610.0,0.0,0.0,5.864,1.3636363636363638,1980.0,2020,SPAL,26.0,2340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,66.7,0.0,0.0,1.0,9.0,0.0,44.0,1.69,105.0,74.1,3.0,11.5,0.0,620.0,879.0,70.5,14508.0,100.0,96.9,49.3,0.0,7.0,0.0,831.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.5,0.15,0.0,2.9,1
Luigi Sepe,4580000.0,2159.0,29,Goalkeeper,185.0,1,1,0.0,0.0,4.67,1.542857142857143,3150.0,0.0,0.0,9.34,1.5789473684210529,3420.0,2020,Parma,34.0,3060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,50.0,0.0,0.0,0.0,6.0,2.0,53.0,1.56,137.0,75.6,5.0,14.7,33.3,860.0,1132.0,76.0,19382.0,100.0,99.3,56.5,2.0,25.0,0.0,1091.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.5,0.26,0.03,3.2,1
Stefano Gori,3200000.0,1794.0,24,Goalkeeper,185.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,Juventus,25.846153846153847,2317.3076923076924,0.0,0.0512820512820512,0.0512820512820512,0.0,0.0,0.0,0.0,0.0,0.4615384615384615,0.0,0.0015384615384615,0.9230769230769232,0.5384615384615384,36.54102564102564,0.0,0.1794871794871795,0.8205128205128205,10.846153846153848,1.6153846153846154,37.66666666666666,1.528974358974359,82.3076923076923,69.94871794871794,5.589743589743589,21.235897435897435,14.807692307692308,598.025641025641,880.1282051282051,67.94615384615385,13172.128205128203,98.95128205128204,98.33333333333331,44.74358974358975,0.717948717948718,15.333333333333334,0.6410256410256411,789.4615384615385,0.4358974358974359,29.487179487179485,1.2820512820512822,0.0,0.0512820512820512,0.0256410256410256,0.1282051282051282,0.0,0.0256410256410256,2.5641025641025643,0.0007692307692307,0.0,0.0,73.09487179487179,0.1615384615384615,0.0376923076923076,5.21025641025641,0
Ivor Pandur,1900000.0,2524.0,20,Goalkeeper,187.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,Hellas Verona,25.846153846153847,2317.3076923076924,0.0,0.0512820512820512,0.0512820512820512,0.0,0.0,0.0,0.0,0.0,0.4615384615384615,0.0,0.0015384615384615,0.9230769230769232,0.5384615384615384,36.54102564102564,0.0,0.1794871794871795,0.8205128205128205,10.846153846153848,1.6153846153846154,37.66666666666666,1.528974358974359,82.3076923076923,69.94871794871794,5.589743589743589,21.235897435897435,14.807692307692308,598.025641025641,880.1282051282051,67.94615384615385,13172.128205128203,98.95128205128204,98.33333333333331,44.74358974358975,0.717948717948718,15.333333333333334,0.6410256410256411,789.4615384615385,0.4358974358974359,29.487179487179485,1.2820512820512822,0.0,0.0512820512820512,0.0256410256410256,0.1282051282051282,0.0,0.0256410256410256,2.5641025641025643,0.0007692307692307,0.0,0.0,73.09487179487179,0.1615384615384615,0.0376923076923076,5.21025641025641,0
