name,transfer_fee,market_value_in_eur,days_left_on_contract,age,position,height_in_cm,is_left_footed,is_tier1_nation,adjusted_goals_season1,adjusted_assists_season1,adjusted_clean_sheet_season1,goals_conceded_per_90_season1,minutes_played_season1,adjusted_goals_season2,adjusted_assists_season2,adjusted_clean_sheet_season2,goals_conceded_per_90_season2,minutes_played_season2,season,to_club_name
Viktor Kovalenko,600000.0,6000000.0,1794.0,24,Midfield,182.0,0,0,1.3719999999999999,0.597,2.325,1.5047770700636942,1256.0,4.4719999999999995,0.775,6.797000000000001,1.8453427065026362,1707.0,2020,Atalanta BC
Ben Davies,1850000.0,2400000.0,1764.0,25,Defender,185.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,Liverpool
Georginio Rutter,750000.0,1500000.0,2890.0,18,Attack,182.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,TSG Hoffenheim
Moisés Caicedo,28200000.0,5000000.0,3985.0,19,Midfield,178.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,Brighton
Antonio Sanabria,6500000.0,6500000.0,2159.0,24,Attack,180.0,0,0,5.604,2.802,2.802,2.90948275862069,1392.0,7.046,1.194,7.046,1.592920353982301,2147.0,2020,Torino
Ross Stewart,338000.0,500000.0,2159.0,24,Attack,188.0,0,0,5.74,1.64,3.28,2.4324324324324325,1665.0,1.194,0.0,0.0,4.419642857142857,224.0,2020,Sunderland
Gerard Deulofeu,17000000.0,12000000.0,2159.0,26,Attack,177.0,0,1,4.0,5.0,7.0,1.8376068376068375,2106.0,11.193999999999999,5.0,6.0,2.325886990801577,2283.0,2020,Udinese Calcio
Jaime Báez,700000.0,1600000.0,1794.0,25,Attack,178.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,9.0,2020,Cremonese
Saïd Benrahma,23100000.0,22000000.0,2524.0,25,Attack,172.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,West Ham
Dennis Man,11000000.0,6500000.0,2524.0,22,Attack,183.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,Parma
Nicolò Rovella,26000000.0,4000000.0,1794.0,19,Midfield,179.0,0,1,0.0,0.0,0.0,7.5,108.0,0.0,0.0,0.0,0.0,0.0,2020,Juventus
Aleksandr Kokorin,4500000.0,4500000.0,1764.0,29,Attack,184.0,0,0,5.817,2.493,3.324,0.8191126279863481,879.0,1.194,0.0,0.0,4.251968503937007,127.0,2020,Fiorentina
Jeremie Frimpong,11000000.0,4000000.0,2890.0,20,Midfield,172.0,0,1,1.64,2.46,5.5169999999999995,1.1489361702127658,1410.0,0.0,0.0,0.0,0.0,0.0,2020,B. Leverkusen
Papu Gómez,6400000.0,15000000.0,365.0,32,Attack,167.0,0,1,7.135000000000001,16.138,9.6,1.5955678670360112,3610.0,8.926,9.937000000000001,11.391,1.2187020950434337,3914.0,2020,Sevilla FC
Morgan Sanson,15800000.0,20000000.0,2524.0,26,Midfield,180.0,0,1,4.62,4.62,9.24,1.1939615736505031,2186.0,4.62,3.369,7.392,1.7001180637544273,2541.0,2020,Aston Villa
Carlos Fernández,10000000.0,9000000.0,2159.0,24,Attack,185.0,1,1,11.999,3.712,5.5680000000000005,1.3968957871396896,2706.0,0.0,0.0,0.0,6.923076923076923,26.0,2020,Real Sociedad
Vasilios Zagaritis,380000.0,150000.0,2159.0,19,Defender,178.0,1,0,0.0,0.0,0.597,0.5,180.0,0.0,0.0,0.0,0.0,0.0,2020,Parma
Manu Koné,9000000.0,5000000.0,3255.0,19,Midfield,185.0,0,1,0.0,0.0,0.924,3.1885714285714286,875.0,0.0,0.0,0.0,0.0,0.0,2020,Bor. M'gladbach
Youssef Maleh,800000.0,700000.0,1794.0,22,Midfield,179.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,Fiorentina
Morten Hjulmand,2500000.0,700000.0,2890.0,21,Midfield,185.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,Lecce
Timothy Fosu-Mensah,1700000.0,4000000.0,365.0,22,Defender,185.0,0,1,0.0,0.0,1.0,2.6923076923076925,234.0,0.0,0.0,1.0,2.8337531486146097,794.0,2020,B. Leverkusen
Étienne Capoue,2000000.0,4000000.0,365.0,32,Midfield,189.0,0,1,0.0,3.0,7.0,1.709726443768997,2632.0,2.194,3.0,7.5969999999999995,1.560538116591928,3345.0,2020,Villarreal
Joakim Maehle,13700000.0,11000000.0,2524.0,23,Defender,185.0,0,0,0.0,3.532,3.246,1.901651940069151,2603.0,1.766,6.803,10.932,1.1631663974151858,3714.0,2020,Atalanta BC
Amad Diallo,21300000.0,15000000.0,3620.0,18,Attack,173.0,1,0,0.934,0.0,0.0,15.0,24.0,0.0,0.0,0.0,0.0,0.0,2020,Man Utd
Dominik Szoboszlai,36000000.0,25000000.0,2890.0,20,Midfield,187.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,RB Leipzig
Joe Scally,1800000.0,2000000.0,2524.0,18,Defender,184.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,Bor. M'gladbach
